country_code,state_province,city,latitude,longitude,station_count,port_count,fast_station_count,fast_port_count,fast_station_share,fast_port_share,max_power_kw,median_power_kw,dc_fast_station_count,dc_ultra_station_count,has_fast_dc,has_ultra_dc,is_fast_dominant,dev_stage,log_station_count
ES,Catalunya,Cornellà de Llobregat,41.3550274,2.0817701,10,30,8,24,0.8,0.8,150,95,8,2,1,1,TRUE,Mature,1.0413926851582251
ES,Catalunya,Sant Adrià de Besòs,41.421879375,2.216746625,8,48,6,42,0.75,0.875,150,60,6,2,1,1,TRUE,Mature,0.9542425094393248
ES,Catalunya,Tàrrega,41.6513522,1.140163,5,18,4,14,0.8,0.7777777777777778,150,120,4,2,1,1,TRUE,Mature,0.7781512503836436
ES,Catalunya,Viladecans,41.3086826,2.0261676,5,17,4,15,0.8,0.8823529411764706,100,60,4,0,1,0,TRUE,Mature,0.7781512503836436
ES,Comunidad de Madrid,Majadahonda,40.46200915,-3.8740937,20,132,16,112,0.8,0.8484848484848485,250,60,16,3,1,1,TRUE,Mature,1.3222192947339193
ES,Comunidad de Madrid,Rivas-Vaciamadrid,40.349760833333335,-3.5336960555555557,18,90,13,76,0.7222222222222222,0.8444444444444444,300,55,13,5,1,1,TRUE,Mature,1.2787536009528289
ES,Comunitat Valenciana,Chiva,39.4647926,-0.6630816,5,15,5,15,1,1,320,120,5,2,1,1,TRUE,Mature,0.7781512503836436
ES,Galicia,O Porriño,42.126304,-8.620074200000001,5,11,5,11,1,1,150,60,5,1,1,1,TRUE,Mature,0.7781512503836436
ES,La Rioja,Calahorra,42.302698428571425,-1.9740037142857143,7,22,6,19,0.8571428571428571,0.8636363636363636,360,100,6,1,1,1,TRUE,Mature,0.9030899869919436
ES,Región de Murcia,Fortuna,38.18403942857143,-1.1211942857142858,7,22,6,12,0.8571428571428571,0.5454545454545454,60,60,6,0,1,0,TRUE,Mature,0.9030899869919436
ES,UNKNOWN,Agüimes,27.865219857142858,-15.420829142857142,7,28,5,22,0.7142857142857143,0.7857142857142857,180,60,5,2,1,1,TRUE,Mature,0.9030899869919436
ES,UNKNOWN,Almería,36.845554428571425,-2.4129045714285717,7,22,6,19,0.8571428571428571,0.8636363636363636,360,60,6,3,1,1,TRUE,Mature,0.9030899869919436
ES,UNKNOWN,Badajoz,38.879739,-6.980508,5,9,4,7,0.8,0.7777777777777778,120,60,4,0,1,0,TRUE,Mature,0.7781512503836436
ES,UNKNOWN,Ciudad Real,38.97984833333334,-3.9290986666666665,6,14,5,12,0.8333333333333334,0.8571428571428571,150,85,5,1,1,1,TRUE,Mature,0.8450980400142568
ES,UNKNOWN,Cáceres,39.469356,-6.3657582,5,22,5,22,1,1,150,100,5,1,1,1,TRUE,Mature,0.7781512503836436
ES,UNKNOWN,La Pobla de Vallbona,39.583823625,-0.5412669999999999,8,27,6,23,0.75,0.8518518518518519,150,60,6,2,1,1,TRUE,Mature,0.9542425094393248
ES,UNKNOWN,Pobla de Valbona,39.59178,-0.546617,6,17,6,17,1,1,150,105,6,3,1,1,TRUE,Mature,0.8450980400142568
